customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,cancellation_code,currency,account_status,churned
CUST-20000,12,28.36,,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20001,71,75.16,5323.95,Two year,Credit card,102,USD,ACTIVE,1
CUST-20002,64,33.05,2116.05,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20003,10,21.64,219.17,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20004,41,59.73,2455.35,Two year,Bank transfer,0,USD,ACTIVE,0
CUST-20005,5,58.84,302.25,One year,Electronic check,0,USD,ACTIVE,0
CUST-20006,64,53.76, ,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20007,41,36.8,1492.35,Month-to-month,Credit card,102,USD,ACTIVE,1
CUST-20008,61,89.33,5434.97,Two year,Credit card,103,USD,ACTIVE,1
CUST-20009,65,116.2,7562.48,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20010,6,106.86,650.37,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20011,13,62.98,810.43,Two year,Bank transfer,0,USD,ACTIVE,0
CUST-20012,41,98.08,4012.97,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20013,50,34.14,1708.11,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20014,9,115.53,1025.08,One year,Electronic check,0,USD,ACTIVE,0
CUST-20015,30,67.71,2024.13,Two year,Credit card,0,USD,ACTIVE,0
CUST-20016,60,72.88,4377.82,One year,Credit card,0,USD,ACTIVE,0
CUST-20017,35,116.79,4084.33,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20018,45,88.91,4006.58,Month-to-month,Electronic check,101,USD,ACTIVE,1
CUST-20019,20,69.02,1367.52,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20020,11,34.22,384.79,One year,Electronic check,0,USD,ACTIVE,0
CUST-20021,1,73.39,93.42,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20022,9,25.08,218.66,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20023,63,109.27,6891.01,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20024,37,94.79,3495.01,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20025,29,22.46,642.02,Two year,Credit card,0,USD,ACTIVE,0
CUST-20026,64,48.49,3110.45,Two year,Credit card,102,USD,ACTIVE,1
CUST-20027,8,62.51,499.64,One year,Mailed check,0,USD,SUSPENDED,0
CUST-20028,11,117.54,1286.84,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20029,53,22.25,1180.7,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20030,57,46.01,2609.02,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20031,39,59.41,2316.49,One year,Credit card,0,USD,ACTIVE,0
CUST-20032,53,101.97,5417.8,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20033,19,119.09,2270.41,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20034,16,79.93,1287.18,Two year,Credit card,0,USD,ACTIVE,0
CUST-20035,45,74.55,3357.87,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20036,1,30.16,45.86,Two year,Mailed check,0,USD,ACTIVE,0
CUST-20037,13,84.42,1082.02,Two year,Mailed check,0,USD,ACTIVE,0
CUST-20038,18,45.07,801.49,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20039,25,55.47,1395.57,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20040,37,64.61,2408.98,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20041,64,40.24,2582.21,One year,Electronic check,0,USD,ACTIVE,0
CUST-20042,20,56.44,1121.99,One year,Credit card,0,USD,ACTIVE,0
CUST-20043,36,104.49,3760.18,Two year,Credit card,0,USD,ACTIVE,0
CUST-20044,31,30.75,953.98,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20045,11,113.16,1263.79,One year,Credit card,0,USD,ACTIVE,0
CUST-20046,61,33.12,2037.4,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20047,21,115.03,2428.17,One year,Credit card,0,USD,ACTIVE,0
CUST-20048,28,75.67,,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20049,9,65.24,568.61,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20050,27,20.63,545.37,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20051,47,46.98,2208.13,Two year,Credit card,0,USD,ACTIVE,0
CUST-20052,48,75.64,3629.15,Two year,Mailed check,0,USD,ACTIVE,0
CUST-20053,55,52.42,2898.17,Two year,Credit card,0,USD,ACTIVE,0
CUST-20054,10,77.39,783.15,Two year,Credit card,0,USD,ACTIVE,0
CUST-20055,46,81.78,3766.11,Two year,Bank transfer,0,USD,ACTIVE,0
CUST-20056,3,55.07,170.77,One year,Mailed check,0,USD,ACTIVE,0
CUST-20057,19,75.98,1443.24,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20058,59,45.53,2685.54,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20059,12,98.04,1171.08,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20060,11,40.4,445.51,One year,Electronic check,0,USD,ACTIVE,0
CUST-20061,36,69.59,2493.59,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20062,29,53.53,1563.24,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20063,4,49.75,196.35,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20064,48,63.07,3027.78,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20065,15,84.68,,Two year,Mailed check,0,USD,ACTIVE,0
CUST-20066,70,63.72,4447.37,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20067,61,66.4,4048.41,One year,Mailed check,0,USD,ACTIVE,0
CUST-20068,70,76.78,5373.7,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20069,52,88.23,4585.3,Two year,Credit card,0,USD,ACTIVE,0
CUST-20070,7,59.89,434.6,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20071,69,67.76,4673.69,One year,Mailed check,102,USD,ACTIVE,1
CUST-20072,24,51.1,1219.5,One year,Mailed check,0,USD,ACTIVE,0
CUST-20073,36,44.29,,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20074,68,99.15,6742.99,One year,Mailed check,101,USD,ACTIVE,1
CUST-20075,58,115.68,6729.49,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20076,47,64.26,,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20077,4,83.21,326.85,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20078,47,50.09,2359.89,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20079,30,77.61,2333.88,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20080,22,20.33, ,Two year,Credit card,0,USD,ACTIVE,0
CUST-20081,22,76.79,,Month-to-month,Bank transfer,0,USD,ACTIVE,0
CUST-20082,24,115.73,2765.4,Month-to-month,Credit card,0,USD,ACTIVE,0
CUST-20083,21,33.81,711.62,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20084,28,105.23,2949.96,Month-to-month,Electronic check,0,USD,ACTIVE,0
CUST-20085,6,57.79,352.84,Month-to-month,Mailed check,0,USD,ACTIVE,0
CUST-20086,50,45.01,2242.75,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20087,64,59.07,3798.83,One year,Bank transfer,0,USD,ACTIVE,0
CUST-20088,4,23.62, ,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20089,57,40.74,2300.06,Two year,Electronic check,0,USD,ACTIVE,0
CUST-20090,15,94.41,1421.84,Two year,Mailed check,0,USD,ACTIVE,0
CUST-20091,50,101.29,5056.08,Month-to-month,Credit card,0,USD,ACTIVE,0
